model,feedback,contrast,mean,q025,q50,q975,p_gt0,p_lt0,posterior_tail_p,hdi95_crosses_zero
Hierarchical_RT,Full,TP_at_Reject,-1.083026319584125,-1.1951540835200865,-1.082732211907062,-0.9723608920197299,0,1,0,FALSE
Hierarchical_RT,Full,TP_at_Accept,-1.2429133280308273,-1.3530842614221161,-1.2442551348886413,-1.1346276188182098,0,1,0,FALSE
Hierarchical_RT,Full,Frame_at_NoTP,0.06773503988177097,-0.013362068730932236,0.0666963630941746,0.14984701540224762,0.9525,0.0475,0.095,TRUE
Hierarchical_RT,Full,Frame_at_TP,-0.09215196856493152,-0.17148940874324325,-0.09153040130495826,-0.007362112723936334,0.015,0.985,0.03,FALSE
Hierarchical_RT,Full,TPxFrame_Interaction,-0.15988700844670248,-0.21136263983314368,-0.16000514342555158,-0.10730414059960809,0,1,0,FALSE
Hierarchical_RT,Partial,TP_at_Reject,-1.0253205515451806,-1.1434243735611689,-1.0243441562049316,-0.915112504987479,0,1,0,FALSE
Hierarchical_RT,Partial,TP_at_Accept,-1.114133185413357,-1.234838933200931,-1.1126413296523174,-0.9982951213024831,0,1,0,FALSE
Hierarchical_RT,Partial,Frame_at_NoTP,0.06230753374308205,-0.018634128287850455,0.062373003459908816,0.14477318126492464,0.9441666666666667,0.05583333333333333,0.11166666666666666,TRUE
Hierarchical_RT,Partial,Frame_at_TP,-0.02650510012509428,-0.11010947430158469,-0.025547263731493262,0.05558007394217041,0.27666666666666667,0.7233333333333334,0.5533333333333333,TRUE
Hierarchical_RT,Partial,TPxFrame_Interaction,-0.08881263386817634,-0.1453265891134565,-0.08878912302888226,-0.0354013508316601,8.333333333333334e-4,0.9991666666666666,0.0016666666666666668,FALSE
LBA_drift_regression,Full,TP_at_Reject,0.28599260514976843,0.04051461177084237,0.27587357874404794,0.564176774601748,0.985,0.015,0.03,FALSE
LBA_drift_regression,Full,TP_at_Accept,0.23738850120313484,-0.020645715961640623,0.240741786507974,0.512767814874425,0.9608333333333333,0.03916666666666667,0.07833333333333334,TRUE
LBA_drift_regression,Full,Frame_at_NoTP,0.1751831515993237,-0.039204969843703474,0.17371397147139755,0.40066773494166913,0.9508333333333333,0.049166666666666664,0.09833333333333333,TRUE
LBA_drift_regression,Full,Frame_at_TP,0.1265790476526901,-0.08468165091708947,0.12408476288441586,0.3254496001364793,0.875,0.125,0.25,TRUE
LBA_drift_regression,Full,TPxFrame_Interaction,-0.04860410394663361,-0.3211561967150198,-0.04953837065793823,0.20819274311232405,0.365,0.635,0.73,TRUE
LBA_drift_regression,Partial,TP_at_Reject,0.22710868374288642,-0.026147216838038834,0.2266135851216498,0.49204220526005576,0.9558333333333333,0.04416666666666667,0.08833333333333333,TRUE
LBA_drift_regression,Partial,TP_at_Accept,0.4936724050724184,0.25072898288064505,0.49013788063584474,0.7598925116846847,1,0,0,FALSE
LBA_drift_regression,Partial,Frame_at_NoTP,-0.024972418920571414,-0.27335454369127704,-0.027452507770347797,0.24521265642120513,0.4216666666666667,0.5783333333333334,0.8433333333333334,TRUE
LBA_drift_regression,Partial,Frame_at_TP,0.24159130240896054,-0.014445539420886612,0.24210519976553138,0.49241539862727435,0.9691666666666666,0.030833333333333334,0.06166666666666667,TRUE
LBA_drift_regression,Partial,TPxFrame_Interaction,0.266563721329532,-0.015926637880335,0.26558452629171425,0.5517584041943903,0.97,0.03,0.06,TRUE
